,Pořadí na kandidátce v 2002,"Příjmení, jméno",Tituly 2002,Věk 2002,Navrhující strana,Politická příslušnost,Hlasy abs. 2002,Hlasy v % 2002,Pořadí zvolení v 2002,Mandát v 2002,Pořadí na kandidátce v 2006,Tituly 2006,Věk 2006,Hlasy abs. 2006,Hlasy v % 2006,Pořadí zvolení v 2006,Mandát v 2006,Pořadí na kandidátce v 2010,Tituly 2010,Věk 2010,Hlasy abs. 2010,Hlasy v % 2010,Pořadí zvolení v 2010,Mandát v 2010,Pořadí na kandidátce v 2014,Tituly 2014,Věk 2014,Hlasy abs. 2014,Hlasy v % 2014,Pořadí zvolení v 2014,Mandát v 2014,Pořadí na kandidátce v 2018,Tituly 2018,Věk 2018,Hlasy abs. 2018,Hlasy v % 2018,Pořadí zvolení v 2018,Mandát v 2018
122,36.0,Chládková Jana,,60.0,SZ,BEZPP,1145.0,1.59,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,32.0,Choc Jaroslav,Mgr.,73.0,ČSSD,ČSSD,8290.0,2.05,22.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,2.0,Chovanec Milan,,32.0,ČSSD,ČSSD,9435.0,2.33,5.0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,31.0,Chromý Václav,,39.0,ODA,BEZPP,404.0,1.55,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,34.0,Jahl Jiří,,66.0,ODS,ODS,15174.0,2.04,14.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,35.0,Jandl Petr,,61.0,ODS,ODS,15143.0,2.03,15.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,15.0,Jandošová Alena,,40.0,SŽJ,SŽJ,468.0,5.3,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,21.0,Janouškovec Pavel,,43.0,KDU-ČSL,BEZPP,3422.0,2.34,6.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,47.0,Jedlík Jiří,Ing.,64.0,ČSSD,ČSSD,6681.0,1.65,37.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,24.0,Jehličková Jaroslava,,46.0,PVP,BEZPP,3443.0,1.87,20.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,35.0,Ježdík Bohuslav,,24.0,SZ,BEZPP,1189.0,1.65,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,39.0,Ježek Vlastislav,,69.0,KSČM,KSČM,5423.0,2.08,31.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,45.0,Ježková Zdeňka,,65.0,KSČM,KSČM,5286.0,2.03,37.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
